text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,tag
"RT @swarupandas: #npcindia for #Higher #productivity and #SelfImprovement 
#npccertificate #NPC_INDIA_GOV #onlinelearning #EnergyEfficiency…",FALSE,0,NA,2021-02-12T00:41:30Z,FALSE,NA,1360026208524636161,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kr_vj,54,TRUE,FALSE,NA,NA,onlinelearning
RT @Catlin_Tucker: Looking for ways to foster collaboration in your socially distant classroom or online? Create virtual social learning sp…,FALSE,0,NA,2021-02-12T00:41:17Z,FALSE,NA,1360026152862154752,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",MeganPfeiffer6,76,TRUE,FALSE,NA,NA,onlinelearning
Preparando las clases para el curso de español para hispanohablantes en @SpanishMpc preparing my Spanish for Herita… https://t.co/PzfU7MHBYW,FALSE,5,NA,2021-02-12T00:39:27Z,TRUE,NA,1360025692738473985,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MarcosIPico,0,FALSE,FALSE,NA,NA,onlinelearning
"RT @swarupandas: #npcindia for #Higher #productivity and #SelfImprovement 
#npccertificate #NPC_INDIA_GOV #onlinelearning #EnergyEfficiency…",FALSE,0,NA,2021-02-12T00:39:14Z,FALSE,NA,1360025637314985987,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kr_vj,40,TRUE,FALSE,NA,NA,onlinelearning
"RT @swarupandas: #npcindia for #Higher #productivity and #SelfImprovement 
#npccertificate #NPC_INDIA_GOV #onlinelearning #EnergyEfficiency…",FALSE,0,NA,2021-02-12T00:38:43Z,FALSE,NA,1360025505659908096,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kr_vj,45,TRUE,FALSE,NA,NA,onlinelearning
"RT @gauravrkadam: #npcindia for #Higher #productivity and #SelfImprovement 
#npccertificate #NPC_INDIA_GOV #onlinelearning #EnergyEfficienc…",FALSE,0,NA,2021-02-12T00:38:30Z,FALSE,NA,1360025450710409216,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kr_vj,60,TRUE,FALSE,NA,NA,onlinelearning
"RT @swarupandas: #npcindia for #Higher #productivity and #SelfImprovement 
#npccertificate #NPC_INDIA_GOV #onlinelearning #EnergyEfficiency…",FALSE,0,NA,2021-02-12T00:38:11Z,FALSE,NA,1360025373572952066,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kr_vj,60,TRUE,FALSE,NA,NA,onlinelearning
"RT @MicrobiomeEU: 👀 Are you looking to learn and engage more on #microbiomes in our bodies, environments &amp; #FoodSystems?

Take advantage of…",FALSE,0,NA,2021-02-12T00:37:20Z,FALSE,NA,1360025158203899906,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",dianiayalam,10,TRUE,FALSE,NA,NA,onlinelearning
RT @TRCA_HQ: Want to learn more about what happens to snow or rain after it falls? Register for our FREE Rain to Runoff e-resource kit at h…,FALSE,0,NA,2021-02-12T00:36:53Z,FALSE,NA,1360025043456114695,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",floyd_ruskin,11,TRUE,FALSE,NA,NA,onlinelearning
"RT @swarupandas: #npcindia for #Higher #productivity and #SelfImprovement 
#npccertificate #NPC_INDIA_GOV #onlinelearning #EnergyEfficiency…",FALSE,0,NA,2021-02-12T00:36:46Z,FALSE,NA,1360025016255979523,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kr_vj,53,TRUE,FALSE,NA,NA,onlinelearning
"One of our students drew me on his white board today during his break...he said I was his favorite teacher 😭

I’m n… https://t.co/5nLii5T9WI",FALSE,1,NA,2021-02-12T00:36:31Z,TRUE,NA,1360024953152675841,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",melcheran,0,FALSE,FALSE,NA,NA,onlinelearning
Covid-19 has completely changed how I teach my scholars. Help me continue to do the best I can! Check out my classr… https://t.co/yVeGUhUXV3,FALSE,2,NA,2021-02-12T00:36:30Z,TRUE,NA,1360024946953629697,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",ejordan07,0,FALSE,FALSE,NA,NA,onlinelearning
RT @Catlin_Tucker: Looking for ways to foster collaboration in your socially distant classroom or online? Create virtual social learning sp…,FALSE,0,NA,2021-02-12T00:35:16Z,FALSE,NA,1360024639188004870,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Kikilala141,76,TRUE,FALSE,NA,NA,onlinelearning
"We've launched our Winter Reading Partnership for Black Parents (RPBP) Online program, our signature RPP Online pro… https://t.co/bnYBKcfJXT",FALSE,2,NA,2021-02-12T00:30:56Z,TRUE,NA,1360023550015508481,NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",TRPnow,0,FALSE,FALSE,NA,NA,onlinelearning
"#Remotework and #onlinelearning quickly ramped up Eastern Carver County Schools' #security needs, but existing… https://t.co/FmuGxHN6e9",FALSE,0,NA,2021-02-12T00:30:45Z,TRUE,NA,1360023500291907588,NA,"<a href=""http://dynamicsignal.com/"" rel=""nofollow"">Dynamic Signal</a>",Kat_CDW,0,FALSE,FALSE,NA,NA,onlinelearning
